Node ID,Node Coordinates,Contour(Displacement)
12170,-75 -28.6 -0.889338,-8.89E-01
22928,-74 -28.6 -0.902055,-9.02E-01
22934,-73 -28.6 -0.914831,-9.15E-01
22901,-72 -28.6 -0.927666,-9.28E-01
22914,-71 -28.6 -0.940559,-9.41E-01
22861,-70 -28.6 -0.95351,-9.54E-01
23010,-69 -28.6 -0.966516,-9.67E-01
23016,-68 -28.6 -0.979579,-9.80E-01
22983,-67 -28.6 -0.992696,-9.93E-01
22996,-66 -28.6 -1.00587,-1.01E+00
22443,-65 -28.6 -1.01909,-1.02E+00
22563,-64 -28.6 -1.03237,-1.03E+00
22552,-63 -28.6 -1.0457,-1.05E+00
22558,-62 -28.6 -1.05908,-1.06E+00
22501,-61 -28.6 -1.07251,-1.07E+00
22631,-60 -28.6 -1.08599,-1.09E+00
22637,-59 -28.6 -1.09952,-1.10E+00
22604,-58 -28.6 -1.1131,-1.11E+00
22617,-57 -28.6 -1.12673,-1.13E+00
21672,-56 -28.6 -1.1404,-1.14E+00
24486,-55 -28.6 -1.15412,-1.15E+00
24492,-54 -28.6 -1.16788,-1.17E+00
24459,-53 -28.6 -1.18169,-1.18E+00
24472,-52 -28.6 -1.19554,-1.20E+00
24419,-51 -28.6 -1.20944,-1.21E+00
24568,-50 -28.6 -1.22338,-1.22E+00
24574,-49 -28.6 -1.23735,-1.24E+00
24541,-48 -28.6 -1.25137,-1.25E+00
24554,-47 -28.6 -1.26543,-1.27E+00
24001,-46 -28.6 -1.27953,-1.28E+00
24121,-45 -28.6 -1.29367,-1.29E+00
24110,-44 -28.6 -1.30785,-1.31E+00
24116,-43 -28.6 -1.32206,-1.32E+00
24059,-42 -28.6 -1.33631,-1.34E+00
24189,-41 -28.6 -1.35059,-1.35E+00
24195,-40 -28.6 -1.36491,-1.37E+00
24162,-39 -28.6 -1.37927,-1.38E+00
24175,-38 -28.6 -1.39366,-1.39E+00
12283,-37 -28.6 -1.40808,-1.41E+00
16655,-36 -28.6 -1.42253,-1.42E+00
16644,-35 -28.6 -1.43701,-1.44E+00
16650,-34 -28.6 -1.45153,-1.45E+00
16593,-33 -28.6 -1.46607,-1.47E+00
16723,-32 -28.6 -1.48065,-1.48E+00
16729,-31 -28.6 -1.49525,-1.50E+00
16696,-30 -28.6 -1.50988,-1.51E+00
16709,-29 -28.6 -1.52454,-1.53E+00
16177,-28 -28.6 -1.53923,-1.54E+00
16297,-27 -28.6 -1.55394,-1.55E+00
16286,-26 -28.6 -1.56868,-1.57E+00
16292,-25 -28.6 -1.58344,-1.58E+00
16235,-24 -28.6 -1.59823,-1.60E+00
16365,-23 -28.6 -1.61304,-1.61E+00
16371,-22 -28.6 -1.62787,-1.63E+00
16338,-21 -28.6 -1.64273,-1.64E+00
16351,-20 -28.6 -1.6576,-1.66E+00
15448,-19 -28.6 -1.6725,-1.67E+00
18177,-18 -28.6 -1.68742,-1.69E+00
18183,-17 -28.6 -1.70236,-1.70E+00
18150,-16 -28.6 -1.71732,-1.72E+00
18163,-15 -28.6 -1.7323,-1.73E+00
18110,-14 -28.6 -1.74729,-1.75E+00
18259,-13 -28.6 -1.76231,-1.76E+00
18265,-12 -28.6 -1.77734,-1.78E+00
18232,-11 -28.6 -1.79239,-1.79E+00
18245,-10 -28.6 -1.80746,-1.81E+00
17692,-9 -28.6 -1.82255,-1.82E+00
17812,-8 -28.6 -1.83765,-1.84E+00
17801,-7 -28.6 -1.85277,-1.85E+00
17807,-6 -28.6 -1.86791,-1.87E+00
17750,-5 -28.6 -1.88307,-1.88E+00
17880,-4 -28.6 -1.89825,-1.90E+00
17886,-3 -28.6 -1.91346,-1.91E+00
17853,-2 -28.6 -1.9287,-1.93E+00
17866,-1 -28.6 -1.94397,-1.94E+00
11757,0 -28.6 -1.95945 ,-1.96E+00
