Node ID,Node Coordinates,Contour(Displacement)
18163,-48.02918,-4.43E+00
18110,-47.06793,-4.47E+00
18259,-46.10674,-4.51E+00
18265,-45.1456,-4.55E+00
18232,-44.18451,-4.59E+00
18245,-43.22347,-4.62E+00
17692,-42.26248,-4.66E+00
17812,-41.30155,-4.70E+00
17801,-40.34067,-4.74E+00
17807,-39.37984,-4.78E+00
17750,-38.41907,-4.82E+00
17880,-37.45837,-4.86E+00
17886,-36.49775,-4.90E+00
17853,-35.53723,-4.94E+00
17866,-34.57682,-4.98E+00
11757,0 -28.6 -5.01702 ,-5.02E+00
